pop,asn,type
saopaulo,14593,route_server_peer
saopaulo,266468,route_server_peer
saopaulo,267009,route_server_peer
saopaulo,270550,route_server_peer
saopaulo,52720,route_server_peer
saopaulo,265178,route_server_peer
saopaulo,270586,route_server_peer
saopaulo,52468,route_server_peer
saopaulo,267466,route_server_peer
saopaulo,269070,route_server_peer
saopaulo,272713,route_server_peer
saopaulo,262414,route_server_peer
saopaulo,271410,route_server_peer
saopaulo,270447,route_server_peer
saopaulo,264332,route_server_peer
saopaulo,53038,route_server_peer
saopaulo,132203,peer
saopaulo,262901,route_server_peer
saopaulo,268645,route_server_peer
saopaulo,2914,provider
saopaulo,266006,route_server_peer
saopaulo,53184,route_server_peer
saopaulo,52569,route_server_peer
saopaulo,262344,route_server_peer
saopaulo,262731,route_server_peer
saopaulo,263991,route_server_peer
saopaulo,266220,route_server_peer
saopaulo,263640,route_server_peer
saopaulo,269088,route_server_peer
saopaulo,28189,route_server_peer
saopaulo,28576,route_server_peer
saopaulo,32934,peer
saopaulo,265345,route_server_peer
saopaulo,262662,route_server_peer
saopaulo,269361,route_server_peer
saopaulo,266382,route_server_peer
saopaulo,268509,route_server_peer
saopaulo,266154,route_server_peer
saopaulo,265389,route_server_peer
saopaulo,264426,route_server_peer
saopaulo,268146,route_server_peer
saopaulo,269237,route_server_peer
saopaulo,270273,route_server_peer
saopaulo,266538,route_server_peer
saopaulo,264514,route_server_peer
saopaulo,268471,route_server_peer
saopaulo,271023,route_server_peer
saopaulo,267619,route_server_peer
saopaulo,262566,route_server_peer
saopaulo,271407,route_server_peer
saopaulo,265095,route_server_peer
saopaulo,268428,route_server_peer
saopaulo,271093,route_server_peer
saopaulo,266641,route_server_peer
saopaulo,262669,route_server_peer
saopaulo,263056,route_server_peer
saopaulo,52739,route_server_peer
saopaulo,22689,route_server_peer
saopaulo,266457,route_server_peer
saopaulo,266560,route_server_peer
saopaulo,263891,route_server_peer
saopaulo,53123,route_server_peer
saopaulo,268221,route_server_peer
saopaulo,268862,route_server_peer
saopaulo,52871,route_server_peer
saopaulo,266003,route_server_peer
saopaulo,20253,route_server_peer
saopaulo,271115,route_server_peer
saopaulo,266062,route_server_peer
saopaulo,267995,route_server_peer
saopaulo,267380,route_server_peer
saopaulo,14026,route_server_peer
saopaulo,265172,route_server_peer
saopaulo,268892,route_server_peer
saopaulo,267401,route_server_peer
saopaulo,270893,route_server_peer
saopaulo,266921,route_server_peer
saopaulo,268085,route_server_peer
saopaulo,262949,route_server_peer
saopaulo,269462,route_server_peer
saopaulo,57695,route_server_peer
saopaulo,262809,route_server_peer
saopaulo,28571,route_server_peer
saopaulo,266031,route_server_peer
saopaulo,265262,route_server_peer
saopaulo,267195,route_server_peer
saopaulo,266260,route_server_peer
saopaulo,265021,route_server_peer
saopaulo,263267,route_server_peer
saopaulo,263053,route_server_peer
saopaulo,264453,route_server_peer
saopaulo,271508,route_server_peer
saopaulo,52639,route_server_peer
saopaulo,267637,route_server_peer
saopaulo,262740,route_server_peer
saopaulo,270505,route_server_peer
saopaulo,52675,route_server_peer
saopaulo,262585,route_server_peer
saopaulo,267594,route_server_peer
saopaulo,265918,route_server_peer
saopaulo,269299,route_server_peer
saopaulo,52660,route_server_peer
saopaulo,264562,route_server_peer
saopaulo,268432,route_server_peer
saopaulo,269683,route_server_peer
saopaulo,271075,route_server_peer
saopaulo,52593,route_server_peer
saopaulo,268468,route_server_peer
saopaulo,266608,route_server_peer
saopaulo,267999,route_server_peer
saopaulo,269391,route_server_peer
saopaulo,30103,route_server_peer
saopaulo,269376,route_server_peer
saopaulo,268607,route_server_peer
saopaulo,263471,route_server_peer
saopaulo,28360,route_server_peer
saopaulo,267168,route_server_peer
saopaulo,264597,route_server_peer
saopaulo,262968,route_server_peer
saopaulo,271437,route_server_peer
saopaulo,262411,route_server_peer
saopaulo,52827,route_server_peer
saopaulo,271458,route_server_peer
saopaulo,263250,route_server_peer
saopaulo,262499,route_server_peer
saopaulo,28634,route_server_peer
saopaulo,28198,route_server_peer
saopaulo,271740,route_server_peer
saopaulo,262729,route_server_peer
saopaulo,270820,route_server_peer
saopaulo,265061,route_server_peer
saopaulo,267613,route_server_peer
saopaulo,265937,route_server_peer
saopaulo,263582,route_server_peer
saopaulo,263641,route_server_peer
saopaulo,53086,route_server_peer
saopaulo,263966,route_server_peer
saopaulo,263003,route_server_peer
saopaulo,268510,route_server_peer
saopaulo,266167,route_server_peer
saopaulo,265943,route_server_peer
saopaulo,269659,route_server_peer
saopaulo,52997,route_server_peer
saopaulo,270285,route_server_peer
saopaulo,265892,route_server_peer
saopaulo,266240,route_server_peer
saopaulo,269308,route_server_peer
saopaulo,263120,route_server_peer
saopaulo,270248,route_server_peer
saopaulo,61838,route_server_peer
